PeakID (cmd=annotatePeaks.pl ../chip_output/macs2_output/SRR21586222_summits.bed mm10 -gtf ../chip_output/tmp/mm10.ncbiRefSeq.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SRR21586222_peak_43830	chr8	83756890	83756890	+	339.514	NA	Intergenic	Intergenic	6051	XR_878997.1	Gm42030	XR_878997			Gm42030			
SRR21586222_peak_18809	chr16	57391501	57391501	+	334.312	NA	intron (NM_001040397.4, intron 1 of 4)	-intron (NM_001040397.4, intron 1 of 4)	34450	Gm20956	Gm20956	Gm20956			Gm20956			NA
SRR21586222_peak_47483a	chrM	184	184	+	325.187	NA	promoter-TSS (rna-TrnV)	-promoter-TSS (rna-TrnV)	114	rna-mt-Rnr1	mt-Rnr1	rna-mt-Rnr1			mt-Rnr1			
SRR21586222_peak_12435	chr13	65991247	65991247	+	309.256	NA	promoter-TSS (XR_873607.2)	-promoter-TSS (XR_873607.2)	-251	XR_873607.2	Gm40987	XR_873607			Gm40987			
SRR21586222_peak_36214	chr5	134378993	134378993	+	298.43	NA	intron (XM_030254734.1, intron 18 of 27)	-intron (NM_001081462.2, intron 20 of 29)	25713	Gm7033	Gm7033	Gm7033			Gm7033			NA
SRR21586222_peak_28000	chr3	5860594	5860594	+	292.578	NA	Intergenic	Intergenic	109701	Gm8797	Gm8797	Gm8797			Gm8797			NA
SRR21586222_peak_44934b	chr9	3024474	3024474	+	287.201	NA	Intergenic	Intergenic	14269	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586222_peak_24788	chr2	22743724	22743724	+	275.323	NA	Intergenic	Intergenic	-12247	XM_011239139.3	Apbb1ip	XM_030251888			Apbb1ip			
SRR21586222_peak_44859	chr8	125779144	125779144	+	271.878	NA	intron (XR_879361.2, intron 2 of 3)	-intron (NM_175561.4, intron 25 of 33)	3253	XR_003947617.1	Gm39284	XR_879361			Gm39284			
SRR21586222_peak_8743	chr11	109011870	109011870	+	267.072	NA	intron (XR_389100.4, intron 3 of 3)	-intron (XR_389100.4, intron 3 of 3)	31131	XR_389100.4	Gm36876	XR_389100			Gm36876			
SRR21586222_peak_13685	chr14	19415846	19415846	+	264.716	NA	Intergenic	Intergenic	-10754	Gm9637	Gm9637	Gm9637			Gm9637			NA
SRR21586222_peak_11090	chr12	120028844	120028844	+	261.532	NA	Intergenic	Intergenic	82717	NM_001379146.1	Tmem196	NM_001294146			Tmem196			
SRR21586222_peak_36666	chr5	146261180	146261180	+	261.501	NA	intron (XM_006504839.4, intron 2 of 11)	-intron (NM_001359990.1, intron 2 of 12)	29930	NM_153599.4	Cdk8	XM_030254515			Cdk8			
SRR21586222_peak_49139	chrY	90783863	90783863	+	248.182	NA	Intergenic	Intergenic	-1579	NR_137282.1	Erdr1	NR_137282			Erdr1			
SRR21586222_peak_42636	chr8	19784837	19784837	+	244.895	NA	promoter-TSS (Gm10060)	-promoter-TSS (Gm10060)	91	Gm10060	Gm10060	Gm10060			Gm10060			NA
SRR21586222_peak_345b	chr1	24612677	24612677	+	243.805	NA	promoter-TSS (Gm10222)	-promoter-TSS (Gm10222)	23	Gm10222	Gm10222	Gm10222			Gm10222			NA
SRR21586222_peak_44923	chr9	3000531	3000531	+	243.047	NA	Intergenic	Intergenic	38212	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586222_peak_47534a	chrUn_JH584304	59656	59656	+	241.046	NA	promoter-TSS (NR_003518.2)	-promoter-TSS (NR_003518.2)	33	NR_003518.2	Pisd-ps3	NR_003518			Pisd-ps3			
SRR21586222_peak_21089	chr17	70963764	70963764	+	234.36	NA	intron (XR_001782184.2, intron 2 of 2)	-intron (XR_001782184.2, intron 2 of 2)	-4114	NR_168105.1	Gm41611	NR_168105			Gm41611			
SRR21586222_peak_36701	chr5	147611531	147611531	+	233.821	NA	intron (XM_011241000.3, intron 15 of 15)	-intron (NM_010228.4, intron 15 of 29)	-48159	XR_377215.3	Gm35383	XR_377214			Gm35383			
SRR21586222_peak_47483b	chrM	958	958	+	227.559	NA	promoter-TSS (rna-TrnV)	-promoter-TSS (rna-TrnV)	-67	rna-TrnV	TrnV	rna-TrnV			TrnV			
SRR21586222_peak_27975	chr2	182012900	182012900	+	226.974	NA	Intergenic	Intergenic	21674	NM_001205282.1	Gm14496	NM_001205282			Gm14496			
SRR21586222_peak_27968b	chr2	181917884	181917884	+	226.312	NA	intron (XR_867165.1, intron 1 of 2)	-intron (XR_867165.1, intron 1 of 2)	3386	XR_867165.1	Gm40034	XR_867165			Gm40034			
SRR21586222_peak_49137	chrY	90775735	90775735	+	223.726	NA	Intergenic	Intergenic	-9707	NR_137282.1	Erdr1	NR_137282			Erdr1			
SRR21586222_peak_25820	chr2	75874168	75874168	+	208.589	NA	intron (NM_172666.3, intron 10 of 19)	-intron (NM_172666.3, intron 10 of 19)	-41981	XR_866490.3	Gm34861	XR_866490			Gm34861			
SRR21586222_peak_24152	chr19	45650071	45650071	+	205.952	NA	intron (XR_877675.3, intron 1 of 9)	-intron (NM_013907.2, intron 1 of 8)	-8972	XM_011247261.3	Fbxw4	NM_013907			Fbxw4			
SRR21586222_peak_25768	chr2	73023985	73023985	+	204.852	NA	Intergenic	Intergenic	15006	XR_866426.1	Gm39850	XR_866428			Gm39850			
SRR21586222_peak_15443a	chr14	124801772	124801772	+	204.035	NA	Intergenic	Intergenic	-124086	XM_017315845.2	Fgf14	XM_011244952			Fgf14			
SRR21586222_peak_49140	chrY	90784909	90784909	+	200.763	NA	promoter-TSS (NR_137282.1)	-promoter-TSS (NR_137282.1)	-533	NR_137282.1	Erdr1	NR_137282			Erdr1			
SRR21586222_peak_12246a	chr13	62078053	62078053	+	200.497	NA	Intergenic	Intergenic	-24637	Gm40977	Gm40977	Gm40977			Gm40977			NA
SRR21586222_peak_49135	chrY	90768453	90768453	+	199.78	NA	Intergenic	Intergenic	-13403	NR_137283.1	G530011O06Rik	NR_029457			G530011O06Rik			
SRR21586222_peak_28832	chr3	63516479	63516479	+	199.517	NA	Intergenic	Intergenic	-32573	NM_001369306.1	Strit1	NM_001369305			Strit1			
SRR21586222_peak_12498	chr13	66625932	66625932	+	195.288	NA	Intergenic	Intergenic	-5883	XR_001780990.2	Gm46429	XR_001780990			Gm46429			
SRR21586222_peak_16574	chr15	75844580	75844580	+	191.377	NA	intron (XR_384203.2, intron 1 of 1)	-intron (XR_384203.2, intron 1 of 1)	1075	XR_384203.2	Gm34851	XR_384203			Gm34851			
SRR21586222_peak_27337b	chr2	163031985	163031985	+	190.596	NA	intron (XR_374472.4, intron 8 of 11)	-intron (NM_001356522.1, intron 8 of 12)	14632	NM_172150.5	Ift52	NM_001356522			Ift52			
SRR21586222_peak_2298b	chr1	139494839	139494839	+	190.153	NA	TTS (NM_009791.4)	-TTS (NM_009791.4)	-6708	XM_006529133.3	F13b	NM_031164			F13b			
SRR21586222_peak_24787b	chr2	22739880	22739880	+	189.846	NA	Intergenic	Intergenic	-16091	XM_011239139.3	Apbb1ip	XM_030251888			Apbb1ip			
SRR21586222_peak_12381	chr13	65485060	65485060	+	189.387	NA	Intergenic	Intergenic	-26802	XR_003950549.1	Gm10139	XR_003950549			Gm10139			
SRR21586222_peak_13495	chr14	8286759	8286759	+	188.941	NA	Intergenic	Intergenic	23018	NM_001360337.1	Fam107a	XM_006518021			Fam107a			
SRR21586222_peak_11220	chr13	9011809	9011809	+	180.244	NA	intron (XR_382038.2, intron 1 of 3)	-intron (XR_382038.2, intron 1 of 3)	14736	Gm8782	Gm8782	Gm8782			Gm8782			NA
SRR21586222_peak_33987	chr5	18688667	18688667	+	179.629	NA	Intergenic	Intergenic	-125536	Gm17889	Gm17889	Gm17889			Gm17889			NA
SRR21586222_peak_8043b	chr11	88968552	88968552	+	179.487	NA	Intergenic	Intergenic	-1621	NM_001360780.1_2	Elobl	XM_030245855			Elobl			
SRR21586222_peak_345d	chr1	24613867	24613867	+	179.477	NA	TTS (Gm10925)	-TTS (Gm10925)	784	Gm10925	Gm10925	Gm10925			Gm10925			NA
SRR21586222_peak_17544c	chr16	3351486	3351486	+	178.936	NA	Intergenic	Intergenic	26473	Vmn1r-ps138	Vmn1r-ps138	Vmn1r-ps138			Vmn1r-ps138			NA
SRR21586222_peak_24493	chr2	5379262	5379262	+	172.597	NA	intron (NM_001290374.1, intron 2 of 9)	-intron (NM_001290374.1, intron 2 of 9)	4269	XM_006497473.4	Camk1d	NM_177343			Camk1d			
SRR21586222_peak_345a	chr1	24611948	24611948	+	166.75	NA	TTS (Gm10222)	-TTS (Gm10222)	752	Gm10222	Gm10222	Gm10222			Gm10222			NA
SRR21586222_peak_42631	chr8	19698841	19698841	+	166.717	NA	Intergenic	Intergenic	-5470	XM_017312928.1	4930467E23Rik	XM_017312928			4930467E23Rik			
SRR21586222_peak_24787a	chr2	22739548	22739548	+	165.473	NA	Intergenic	Intergenic	-16423	XM_011239139.3	Apbb1ip	XM_030251888			Apbb1ip			
SRR21586222_peak_12257c	chr13	62182420	62182420	+	165.472	NA	Intergenic	Intergenic	18062	Gm7640	Gm7640	Gm7640			Gm7640			NA
SRR21586222_peak_21029	chr17	67741464	67741464	+	164.983	NA	intron (XM_030249518.1, intron 3 of 60)	-intron (NM_008480.2, intron 5 of 62)	10167	XM_030249518.1	Lama1	XM_006523718			Lama1			
SRR21586222_peak_7214	chr11	62494945	62494945	+	160.26	NA	intron (NM_001039536.4, intron 2 of 6)	-intron (NM_001039536.4, intron 2 of 6)	36504	NM_001039536.4	Pigl	NM_001039536			Pigl			
SRR21586222_peak_43276	chr8	57511683	57511683	+	158.663	NA	promoter-TSS (NM_001363443.1)	-promoter-TSS (NM_001363443.1)	-160	NM_001363445.1	Hmgb2	NM_008252			Hmgb2			
SRR21586222_peak_43989	chr8	86888201	86888201	+	157.972	NA	Intergenic	Intergenic	-2905	XM_006531517.3	N4bp1	NM_030563			N4bp1			
SRR21586222_peak_30472	chr3	159939529	159939529	+	154.401	NA	TTS (NM_001356350.1)	-TTS (NM_001356350.1)	-23168	XR_003954720.1	Gm23941	XR_003954720			Gm23941			
SRR21586222_peak_49064	chrX	170881115	170881115	+	152.733	NA	Intergenic	Intergenic	208471	NM_001308488.1	Asmt	NM_001308488			Asmt			
SRR21586222_peak_37655d	chr6	65061231	65061231	+	152.625	NA	intron (XR_003956163.1, intron 5 of 18)	-intron (NM_001253392.1, intron 3 of 21)	11080	XM_006505512.4	Smarcad1	NM_001355249			Smarcad1			
SRR21586222_peak_27825	chr2	177329976	177329976	+	151.709	NA	intron (XR_878655.3, intron 1 of 2)	-intron (Gm14412, intron 1 of 7)	7026	XR_878655.3	Gm41986	XR_878655			Gm41986			
SRR21586222_peak_28042a	chr3	8245420	8245420	+	150.433	NA	Intergenic	Intergenic	31290	Gm7103	Gm7103	Gm7103			Gm7103			NA
SRR21586222_peak_27973	chr2	181932291	181932291	+	149.658	NA	Intergenic	Intergenic	17793	XR_867165.1	Gm40034	XR_867165			Gm40034			
SRR21586222_peak_23106	chr18	90602430	90602430	+	149.547	NA	Intergenic	Intergenic	22605	NM_001362365.1	Gm45871	XM_030250271			Gm45871			
SRR21586222_peak_10333	chr12	78351002	78351002	+	149.329	NA	intron (XM_030246733.1, intron 2 of 20)	-intron (NM_145965.2, intron 2 of 22)	-94350	Gm18899	Gm18899	Gm18899			Gm18899			NA
SRR21586222_peak_44934a	chr9	3024181	3024181	+	148.291	NA	Intergenic	Intergenic	14562	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586222_peak_43882	chr8	84650456	84650456	+	148.033	NA	Intergenic	Intergenic	8663	XR_879014.3	Gm39211	XR_879014			Gm39211			
SRR21586222_peak_27805	chr2	177080027	177080027	+	146.747	NA	Intergenic	Intergenic	5820	Gm14407	Gm14407	Gm14407			Gm14407			NA
SRR21586222_peak_49055	chrX	170008939	170008939	+	145.87	NA	Intergenic	Intergenic	-1587	NR_137282.1_2	Erdr1	NR_137282			Erdr1			
SRR21586222_peak_13349	chr13	119596569	119596569	+	145.65	NA	intron (NM_001370627.1, intron 2 of 2)	-intron (NM_001039244.4, intron 2 of 2)	-27250	NM_020279.3	Ccl28	NM_020279			Ccl28			
SRR21586222_peak_38799	chr6	125433851	125433851	+	145.446	NA	intron (XR_378025.4, intron 3 of 4)	-intron (XR_378025.4, intron 3 of 4)	2921	XR_378025.4	Gm32673	XR_378025			Gm32673			
SRR21586222_peak_2436	chr1	153009500	153009500	+	144.504	NA	intron (XM_006529455.4, intron 2 of 11)	-intron (NM_175460.3, intron 1 of 10)	54399	NM_175460.3	Nmnat2	XR_387163			Nmnat2			
SRR21586222_peak_43129	chr8	43307090	43307090	+	144.072	NA	promoter-TSS (NM_009556.3)	-promoter-TSS (NM_009556.3)	-81	NM_009556.3	Zfp42	XM_006509316			Zfp42			
SRR21586222_peak_47470b	chr9	124256774	124256774	+	143.895	NA	Intergenic	Intergenic	26643	XM_011249869.2	Gm39469	XM_011249869			Gm39469			
SRR21586222_peak_905a	chr1	59697891	59697891	+	143.504	NA	intron (XM_006496149.3, intron 5 of 15)	-intron (NM_018868.2, intron 4 of 14)	5382	XR_003949310.1	LOC115485825	XR_003949310			LOC115485825			
SRR21586222_peak_39294	chr7	3206651	3206651	+	141.621	NA	Intergenic	Intergenic	-11975	NR_029640.1_2	Mir290a	NR_029640			Mir290a			
SRR21586222_peak_276	chr1	17250920	17250920	+	138.933	NA	Intergenic	Intergenic	45752	XR_865207.1	Gm39597	XR_865207			Gm39597			
SRR21586222_peak_10681	chr12	93577089	93577089	+	138.7	NA	Intergenic	Intergenic	-132266	NR_126436.1	4930559C10Rik	NR_126436			4930559C10Rik			
SRR21586222_peak_13042	chr13	99791039	99791039	+	138.111	NA	Intergenic	Intergenic	-98510	XR_003950748.1	Gm24471	XR_003950748			Gm24471			
SRR21586222_peak_44947b	chr9	3439759	3439759	+	138.092	NA	intron (XM_006509865.2, intron 8 of 16)	-intron (NM_027545.2, intron 8 of 17)	35674	NM_027545.2	Cwf19l2	NM_027545			Cwf19l2			
SRR21586222_peak_45983	chr9	56223772	56223772	+	137.925	NA	intron (XM_006511168.4, intron 5 of 5)	-intron (NM_172924.3, intron 6 of 6)	-17572	XR_003948324.1	Peak1os	XR_870776			Peak1os			
SRR21586222_peak_13353	chr13	119603154	119603154	+	137.556	NA	intron (NM_001370627.1, intron 2 of 2)	-intron (NM_001039244.4, intron 2 of 2)	-20665	NM_020279.3	Ccl28	NM_020279			Ccl28			
SRR21586222_peak_34616a	chr5	53555713	53555713	+	134.099	NA	promoter-TSS (NM_001080928.1)	-promoter-TSS (NM_001080928.1)	-66	NM_001080928.1	Rbpj	NM_009035			Rbpj			
SRR21586222_peak_20a	chr1	4802748	4802748	+	133.556	NA	Intergenic	Intergenic	-5075	NM_008866.3	Lypla1	NM_001355712			Lypla1			
SRR21586222_peak_44924b	chr9	3001355	3001355	+	133.247	NA	Intergenic	Intergenic	37388	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586222_peak_42356	chr7	145341236	145341236	+	132.881	NA	Intergenic	Intergenic	26401	NM_203490.4	Mrgprd	NM_203490			Mrgprd			
SRR21586222_peak_47498	chrUn_GL456370	95	95	+	132.797	NA	NA	NA	NA	NA								
SRR21586222_peak_17533b	chr16	3115048	3115048	+	132.499	NA	Intergenic	Intergenic	26404	Vmn1r-ps137	Vmn1r-ps137	Vmn1r-ps137			Vmn1r-ps137			NA
SRR21586222_peak_15443b	chr14	124802041	124802041	+	131.673	NA	Intergenic	Intergenic	-124355	XM_017315845.2	Fgf14	XM_011244952			Fgf14			
SRR21586222_peak_8168	chr11	96018022	96018022	+	131.102	NA	Intergenic	Intergenic	-6510	XM_006532225.4	Gip	XM_006532225			Gip			
SRR21586222_peak_31773	chr4	88641189	88641189	+	131.09	NA	Intergenic	Intergenic	3270	NM_177347.2	Ifna13	NM_177347			Ifna13			
SRR21586222_peak_23533a	chr19	14835819	14835819	+	130.838	NA	Intergenic	Intergenic	124963	Gm5513	Gm5513	Gm5513			Gm5513			NA
SRR21586222_peak_345c	chr1	24613211	24613211	+	130.639	NA	promoter-TSS (Gm10222)	-promoter-TSS (Gm10222)	-511	Gm10222	Gm10222	Gm10222			Gm10222			NA
SRR21586222_peak_49052	chrX	170001402	170001402	+	130.292	NA	Intergenic	Intergenic	-9124	NR_137282.1_2	Erdr1	NR_137282			Erdr1			
SRR21586222_peak_44926b	chr9	3006804	3006804	+	128.963	NA	Intergenic	Intergenic	31939	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586222_peak_14080	chr14	34694182	34694182	+	128.396	NA	intron (NM_001301330.1, intron 3 of 18)	-intron (NM_001004436.4, intron 3 of 18)	-19514	NR_165636.1	5830448L01Rik	NR_165636			5830448L01Rik			
SRR21586222_peak_22030b	chr18	31568923	31568923	+	128.323	NA	intron (XR_877270.2, intron 1 of 4)	-intron (XR_877268.2, intron 1 of 3)	2271	XR_877268.2	Gm38606	XR_877268			Gm38606			
SRR21586222_peak_38631	chr6	121110308	121110308	+	128.158	NA	promoter-TSS (XM_030255268.1)	-promoter-TSS (XM_030255268.1)	88	XM_030255270.1	Mical3	XM_030255252			Mical3			
SRR21586222_peak_5773	chr10	130420093	130420093	+	128.091	NA	intron (NM_001102602.1, intron 5 of 5)	-intron (NM_001102602.1, intron 5 of 5)	7846	Ctdsp2-ps	Ctdsp2-ps	Ctdsp2-ps			Ctdsp2-ps			NA
SRR21586222_peak_40682	chr7	52732351	52732351	+	127.387	NA	Intergenic	Intergenic	-23058	Gm6181	Gm6181	Gm6181			Gm6181			NA
SRR21586222_peak_36847	chr6	4924005	4924005	+	126.968	NA	intron (XR_003956199.1, intron 2 of 14)	-intron (NM_001363809.1, intron 2 of 15)	20519	XM_006505072.4	Ppp1r9a	XM_017321591			Ppp1r9a			
SRR21586222_peak_345f	chr1	24615314	24615314	+	126.449	NA	promoter-TSS (Gm10925)	-promoter-TSS (Gm10925)	-663	Gm10925	Gm10925	Gm10925			Gm10925			NA
SRR21586222_peak_335	chr1	22466848	22466848	+	126.298	NA	intron (NM_183018.4_2, intron 19 of 34)	-intron (NM_001012623.3_2, intron 19 of 33)	339310	NM_183018.4_2	Rims1	NM_183018.4_2			Rims1			
SRR21586222_peak_4755a	chr10	79496870	79496870	+	126.145	NA	Intergenic	Intergenic	27912	NM_001104537.1	Vmn2r83	NM_001104537			Vmn2r83			
SRR21586222_peak_42651	chr8	20153095	20153095	+	126.01	NA	Intergenic	Intergenic	16813	Gm21811	Gm21811	Gm21811			Gm21811			NA
SRR21586222_peak_11212	chr13	8885699	8885699	+	124.672	NA	promoter-TSS (NM_145360.2)	-promoter-TSS (NM_145360.2)	93	NM_145360.2	Idi1	NM_145360			Idi1			
SRR21586222_peak_39249	chr6	148957276	148957276	+	124.585	NA	Intergenic	Intergenic	-10040	XR_003956579.1	Gm25539	XR_003956579			Gm25539			
SRR21586222_peak_45963c	chr9	55216294	55216294	+	124.49	NA	intron (XM_006511459.3, intron 3 of 5)	-intron (NM_028049.2, intron 4 of 6)	6795	XM_006511459.3	Fbxo22	XM_006511459			Fbxo22			
SRR21586222_peak_43667	chr8	73319691	73319691	+	123.385	NA	intron (XR_003947238.1, intron 1 of 14)	-intron (NM_001317391.1_2, intron 2 of 15)	33849	NM_001317391.1_2	Large1	XR_003947238			Large1			
SRR21586222_peak_28286b	chr3	22156636	22156636	+	122.89	NA	intron (XM_030252922.1, intron 2 of 14)	-intron (NM_030732.3, intron 2 of 15)	15711	XM_011249724.3	Tbl1xr1	NM_030732			Tbl1xr1			
SRR21586222_peak_42672a	chr8	20394674	20394674	+	121.679	NA	intron (NR_028428.1, intron 5 of 5)	-intron (NR_028428.1, intron 5 of 5)	13647	Gm7807	Gm7807	Gm7807			Gm7807			NA
SRR21586222_peak_12396	chr13	65620418	65620418	+	121.329	NA	Intergenic	Intergenic	-19350	XR_001780986.1	Gm19448	XR_001780986			Gm19448			
SRR21586222_peak_27735	chr2	175110275	175110275	+	120.722	NA	intron (XM_030251942.1, intron 1 of 4)	-intron (XM_030251941.1, intron 1 of 4)	19844	XM_030251941.1	Gm14393	NM_001085546			Gm14393			
SRR21586222_peak_24430	chr19	61224011	61224011	+	120.279	NA	TTS (NM_009970.2)	-TTS (NM_009970.2)	4407	NM_009970.2	Csf2ra	XR_877659			Csf2ra			
SRR21586222_peak_6345	chr11	22621026	22621026	+	118.655	NA	Intergenic	Intergenic	9317	NR_166746.1	Gm12052	NR_166746			Gm12052			
SRR21586222_peak_49138	chrY	90777172	90777172	+	118.169	NA	Intergenic	Intergenic	-8270	NR_137282.1	Erdr1	NR_137282			Erdr1			
SRR21586222_peak_143	chr1	10038058	10038058	+	117.874	NA	promoter-TSS (NM_026493.3)	-promoter-TSS (NM_026493.3)	-58	XM_030252675.1	Cspp1	XM_006495483			Cspp1			
SRR21586222_peak_3910	chr10	36611682	36611682	+	117.663	NA	intron (XM_030245115.1, intron 2 of 5)	-intron (NM_001081208.2, intron 1 of 3)	104875	NM_001253356.1	Hs3st5	XM_006512761			Hs3st5			
SRR21586222_peak_7697c	chr11	78247974	78247974	+	117.367	NA	intron (NM_009143.3, intron 1 of 2)	-intron (NM_001359106.1, intron 1 of 3)	2001	XM_030245720.1	Sdf2	XM_030245720			Sdf2			
SRR21586222_peak_39292	chr7	3201560	3201560	+	117.288	NA	Intergenic	Intergenic	-17066	NR_029640.1_2	Mir290a	NR_029640			Mir290a			
SRR21586222_peak_17384	chr15	100269988	100269988	+	117.198	NA	Intergenic	Intergenic	-10849	XM_030248805.1	Tmprss12	XM_030248805			Tmprss12			
SRR21586222_peak_19917	chr17	27800098	27800098	+	116.474	NA	intron (NM_001271511.1_2, intron 1 of 3)	-intron (NM_001033279.3_2, intron 1 of 4)	15699	Rps2-ps9_2	Rps2-ps9	Rps2-ps9_2			Rps2-ps9			
SRR21586222_peak_30402	chr3	152701752	152701752	+	116.433	NA	intron (XR_867762.3, intron 4 of 6)	-intron (XR_376259.3, intron 4 of 6)	3700	XR_376259.3	Gm32085	XR_867769			Gm32085			
SRR21586222_peak_47488a	chrM	14398	14398	+	115.755	NA	promoter-TSS (NP_904339.1)	-promoter-TSS (NP_904339.1)	253	NP_904340.1	CYTB	NP_904340			CYTB			
SRR21586222_peak_27732	chr2	175068003	175068003	+	115.686	NA	promoter-TSS (NM_001085546.2)	-promoter-TSS (NM_001085546.2)	-234	NM_001085546.2	Gm14393	NM_001085546			Gm14393			
SRR21586222_peak_41471b	chr7	107339771	107339771	+	114.778	NA	Intergenic	Intergenic	-25999	Gm19033	Gm19033	Gm19033			Gm19033			NA
SRR21586222_peak_43190	chr8	47334363	47334363	+	114.619	NA	intron (XM_030243766.1, intron 2 of 4)	-intron (NM_175162.4, intron 1 of 4)	10821	XR_870417.2	Gm39171	XR_870417			Gm39171			
