PeakID (cmd=annotatePeaks.pl ../chip_output/macs2_output/SRR21586220_summits.bed mm10 -gtf ../chip_output/tmp/mm10.ncbiRefSeq.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SRR21586220_peak_8494	chr12	3109976	3109976	+	455.284	NA	Intergenic	Intergenic	-54768	Gm48310	Gm48310	Gm48310			Gm48310			NA
SRR21586220_peak_26113b	chr3	8245903	8245903	+	439.24	NA	Intergenic	Intergenic	31773	Gm7103	Gm7103	Gm7103			Gm7103			NA
SRR21586220_peak_26113c	chr3	8246374	8246374	+	394.114	NA	Intergenic	Intergenic	32244	Gm7103	Gm7103	Gm7103			Gm7103			NA
SRR21586220_peak_22673	chr19	61266984	61266984	+	364.448	NA	Intergenic	Intergenic	-8962	Gm50357	Gm50357	Gm50357			Gm50357			NA
SRR21586220_peak_16256c	chr16	3115609	3115609	+	334.058	NA	Intergenic	Intergenic	26965	Vmn1r-ps137	Vmn1r-ps137	Vmn1r-ps137			Vmn1r-ps137			NA
SRR21586220_peak_44396	chr9	123462013	123462013	+	330.985	NA	exon (NM_001348167.1, exon 21 of 21)	-exon (NM_001348167.1, exon 21 of 21)	-2195	XR_871396.1	Gm40586	XR_871396			Gm40586			
SRR21586220_peak_26029b	chr2	181930856	181930856	+	322.182	NA	Intergenic	Intergenic	16358	XR_867165.1	Gm40034	XR_867165			Gm40034			
SRR21586220_peak_12721b	chr14	19417323	19417323	+	318.418	NA	Intergenic	Intergenic	-12231	Gm9637	Gm9637	Gm9637			Gm9637			NA
SRR21586220_peak_22397	chr19	45650071	45650071	+	303.159	NA	intron (XR_877675.3, intron 1 of 9)	-intron (NM_013907.2, intron 1 of 8)	-8972	XM_011247261.3	Fbxw4	NM_013907			Fbxw4			
SRR21586220_peak_44414a	chrM	193	193	+	297.063	NA	promoter-TSS (rna-TrnV)	-promoter-TSS (rna-TrnV)	123	rna-mt-Rnr1	mt-Rnr1	rna-mt-Rnr1			mt-Rnr1			
SRR21586220_peak_11577	chr13	65991241	65991241	+	293.862	NA	promoter-TSS (XR_873607.2)	-promoter-TSS (XR_873607.2)	-245	XR_873607.2	Gm40987	XR_873607			Gm40987			
SRR21586220_peak_16454	chr16	11144090	11144090	+	275.464	NA	intron (NR_027502.1, intron 19 of 22)	-intron (NM_145931.3, intron 19 of 22)	-9445	XM_030248911.1	Txndc11	XM_006521659			Txndc11			
SRR21586220_peak_8084	chr11	109011839	109011839	+	263.814	NA	intron (XR_389100.4, intron 3 of 3)	-intron (XR_389100.4, intron 3 of 3)	31100	XR_389100.4	Gm36876	XR_389100			Gm36876			
SRR21586220_peak_340b	chr1	24612672	24612672	+	253.613	NA	promoter-TSS (Gm10222)	-promoter-TSS (Gm10222)	28	Gm10222	Gm10222	Gm10222			Gm10222			NA
SRR21586220_peak_41136	chr8	83756882	83756882	+	248.469	NA	Intergenic	Intergenic	6059	XR_878997.1	Gm42030	XR_878997			Gm42030			
SRR21586220_peak_44414b	chrM	960	960	+	243.68	NA	promoter-TSS (rna-TrnV)	-promoter-TSS (rna-TrnV)	-65	rna-TrnV	TrnV	rna-TrnV			TrnV			
SRR21586220_peak_42019	chr8	125779147	125779147	+	237.698	NA	intron (XR_879361.2, intron 2 of 3)	-intron (NM_175561.4, intron 25 of 33)	3256	XR_003947617.1	Gm39284	XR_003947617			Gm39284			
SRR21586220_peak_22987a	chr2	22739584	22739584	+	224.332	NA	Intergenic	Intergenic	-16387	XM_030251888.1	Apbb1ip	XM_006498186			Apbb1ip			
SRR21586220_peak_17419	chr16	57391503	57391503	+	205.423	NA	intron (NM_001040397.4, intron 1 of 4)	-intron (NM_001040397.4, intron 1 of 4)	34448	Gm20956	Gm20956	Gm20956			Gm20956			NA
SRR21586220_peak_33793	chr5	134379001	134379001	+	203.091	NA	intron (XM_030254734.1, intron 18 of 27)	-intron (NM_001081462.2, intron 20 of 29)	25721	Gm7033	Gm7033	Gm7033			Gm7033			NA
SRR21586220_peak_42079b	chr9	3024466	3024466	+	189.835	NA	Intergenic	Intergenic	14277	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586220_peak_26066	chr3	5860618	5860618	+	185.47	NA	Intergenic	Intergenic	109725	Gm8797	Gm8797	Gm8797			Gm8797			NA
SRR21586220_peak_44456b	chrUn_JH584304	59652	59652	+	182.632	NA	promoter-TSS (NR_003518.2)	-promoter-TSS (NR_003518.2)	37	NR_003518.2	Pisd-ps3	NR_003518			Pisd-ps3			
SRR21586220_peak_40083	chr8	19784844	19784844	+	178.826	NA	promoter-TSS (Gm10060)	-promoter-TSS (Gm10060)	98	Gm10060	Gm10060	Gm10060			Gm10060			NA
SRR21586220_peak_28306	chr3	152701752	152701752	+	175.26	NA	intron (XR_867762.3, intron 4 of 6)	-intron (XR_376259.3, intron 4 of 6)	3700	XR_867768.2	Gm32085	XR_867770			Gm32085			
SRR21586220_peak_26027c	chr2	181918060	181918060	+	171.077	NA	intron (XR_867165.1, intron 2 of 2)	-intron (XR_867165.1, intron 2 of 2)	3562	XR_867165.1	Gm40034	XR_867165			Gm40034			
SRR21586220_peak_26027b	chr2	181917883	181917883	+	169.474	NA	intron (XR_867165.1, intron 1 of 2)	-intron (XR_867165.1, intron 1 of 2)	3385	XR_867165.1	Gm40034	XR_867165			Gm40034			
SRR21586220_peak_12558	chr14	8286768	8286768	+	169.182	NA	Intergenic	Intergenic	23009	NM_183187.4	Fam107a	XM_030247825			Fam107a			
SRR21586220_peak_340d	chr1	24613898	24613898	+	167.632	NA	TTS (Gm10925)	-TTS (Gm10925)	753	Gm10925	Gm10925	Gm10925			Gm10925			NA
SRR21586220_peak_34279	chr5	147611529	147611529	+	162.626	NA	intron (XM_011241000.3, intron 15 of 15)	-intron (NM_010228.4, intron 15 of 29)	-48161	XR_377215.3	Gm35383	XR_377215			Gm35383			
SRR21586220_peak_35286c	chr6	65061254	65061254	+	162.492	NA	intron (XR_003956163.1, intron 5 of 18)	-intron (NM_001253392.1, intron 3 of 21)	11103	XM_006505512.4	Smarcad1	NM_001355248			Smarcad1			
SRR21586220_peak_19559	chr17	70963762	70963762	+	161.931	NA	intron (XR_001782184.2, intron 2 of 2)	-intron (XR_001782184.2, intron 2 of 2)	-4116	NR_168105.1	Gm41611	NR_168105			Gm41611			
SRR21586220_peak_340a	chr1	24611989	24611989	+	159.517	NA	TTS (Gm10222)	-TTS (Gm10222)	711	Gm10222	Gm10222	Gm10222			Gm10222			NA
SRR21586220_peak_26031	chr2	181932288	181932288	+	150.13	NA	Intergenic	Intergenic	17790	XR_867165.1	Gm40034	XR_867165			Gm40034			
SRR21586220_peak_12720	chr14	19415838	19415838	+	148.209	NA	Intergenic	Intergenic	-10746	Gm9637	Gm9637	Gm9637			Gm9637			NA
SRR21586220_peak_26856	chr3	63516489	63516489	+	147.64	NA	Intergenic	Intergenic	-32583	NM_001369305.1	Strit1	NM_001369306			Strit1			
SRR21586220_peak_16268c	chr16	3351497	3351497	+	147.362	NA	Intergenic	Intergenic	26462	Vmn1r-ps138	Vmn1r-ps138	Vmn1r-ps138			Vmn1r-ps138			NA
SRR21586220_peak_12134	chr13	99791034	99791034	+	146.446	NA	Intergenic	Intergenic	-98505	XR_003950748.1	Gm24471	XR_003950748			Gm24471			
SRR21586220_peak_2115b	chr1	139494858	139494858	+	146.084	NA	TTS (NM_009791.4)	-TTS (NM_009791.4)	-6689	XM_006529133.3	F13b	XM_006529133			F13b			
SRR21586220_peak_31726a	chr5	18688675	18688675	+	144.557	NA	Intergenic	Intergenic	-125528	Gm17889	Gm17889	Gm17889			Gm17889			NA
SRR21586220_peak_23957	chr2	73023983	73023983	+	142.845	NA	Intergenic	Intergenic	15004	XR_866428.1	Gm39850	XR_866427			Gm39850			
SRR21586220_peak_10359	chr12	120028853	120028853	+	141.851	NA	Intergenic	Intergenic	82726	NM_001160385.3	Tmem196	NM_001294146			Tmem196			
SRR21586220_peak_11415a	chr13	62078070	62078070	+	138.566	NA	Intergenic	Intergenic	-24620	Gm40977	Gm40977	Gm40977			Gm40977			NA
SRR21586220_peak_11633	chr13	66625957	66625957	+	138.516	NA	Intergenic	Intergenic	-5858	XR_001780990.2	Gm46429	XR_001780990			Gm46429			
SRR21586220_peak_26033	chr2	182012869	182012869	+	138.215	NA	Intergenic	Intergenic	21643	NM_001205282.1	Gm14496	XM_030251981			Gm14496			
SRR21586220_peak_11423b	chr13	62182432	62182432	+	137.799	NA	Intergenic	Intergenic	18050	Gm7640	Gm7640	Gm7640			Gm7640			NA
SRR21586220_peak_22987b	chr2	22739871	22739871	+	137.682	NA	Intergenic	Intergenic	-16100	XM_030251888.1	Apbb1ip	XM_006498186			Apbb1ip			
SRR21586220_peak_15322a	chr15	75085661	75085661	+	137.556	NA	Intergenic	Intergenic	-17781	XR_003951660.1	Gm52219	XR_003951660			Gm52219			
SRR21586220_peak_10473	chr13	9011802	9011802	+	136.936	NA	intron (XR_382038.2, intron 1 of 3)	-intron (XR_382038.2, intron 1 of 3)	14743	Gm8782	Gm8782	Gm8782			Gm8782			NA
SRR21586220_peak_34246	chr5	146261194	146261194	+	136.586	NA	intron (XM_006504839.4, intron 2 of 11)	-intron (NM_001359990.1, intron 2 of 12)	29944	NM_153599.4	Cdk8	NM_153599			Cdk8			
SRR21586220_peak_11540	chr13	65485043	65485043	+	132.379	NA	Intergenic	Intergenic	-26819	XR_003950549.1	Gm10139	XR_003950549			Gm10139			
SRR21586220_peak_2248	chr1	153009516	153009516	+	131.864	NA	intron (XM_006529455.4, intron 2 of 11)	-intron (NM_175460.3, intron 1 of 10)	54415	NM_175460.3	Nmnat2	XM_006529456			Nmnat2			
SRR21586220_peak_44425	chrUn_GL456370	96	96	+	131.418	NA	NA	NA	NA	NA								
SRR21586220_peak_42069a	chr9	3000527	3000527	+	130.015	NA	Intergenic	Intergenic	38216	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586220_peak_22988	chr2	22743712	22743712	+	129.917	NA	Intergenic	Intergenic	-12259	XM_030251888.1	Apbb1ip	XM_006498186			Apbb1ip			
SRR21586220_peak_19510	chr17	67741461	67741461	+	129.813	NA	intron (XM_030249518.1, intron 3 of 60)	-intron (NM_008480.2, intron 5 of 62)	10164	XM_030249518.1	Lama1	NM_008480			Lama1			
SRR21586220_peak_15335	chr15	75844588	75844588	+	128.949	NA	intron (XR_384203.2, intron 1 of 1)	-intron (XR_384203.2, intron 1 of 1)	1083	XR_384203.2	Gm34851	XR_384203			Gm34851			
SRR21586220_peak_24004	chr2	75874169	75874169	+	127.994	NA	intron (NM_172666.3, intron 10 of 19)	-intron (NM_172666.3, intron 10 of 19)	-41982	XR_866490.3	Gm34861	XR_866490			Gm34861			
SRR21586220_peak_269	chr1	17250915	17250915	+	126.684	NA	Intergenic	Intergenic	45747	XR_865207.1	Gm39597	XR_865207			Gm39597			
SRR21586220_peak_42091c	chr9	3439737	3439737	+	124.315	NA	intron (XM_006509865.2, intron 8 of 16)	-intron (NM_027545.2, intron 8 of 17)	35652	NM_027545.2	Cwf19l2	XM_006509865			Cwf19l2			
SRR21586220_peak_3898	chr10	58531229	58531229	+	123.801	NA	intron (XM_030245353.1, intron 9 of 14)	-intron (NM_001162956.1, intron 10 of 15)	23657	XM_017314140.2	Ccdc138	NM_001162956			Ccdc138			
SRR21586220_peak_22721	chr2	5379260	5379260	+	123.069	NA	intron (NM_001290374.1, intron 2 of 9)	-intron (NM_001290374.1, intron 2 of 9)	4271	XM_006497473.4	Camk1d	NM_001290374			Camk1d			
SRR21586220_peak_24293a	chr2	98666364	98666364	+	123.011	NA	Intergenic	Intergenic	44027	XR_374818.2	Gm33780	XR_374818			Gm33780			
SRR21586220_peak_15322b	chr15	75085921	75085921	+	121.401	NA	Intergenic	Intergenic	-17521	XR_003951660.1	Gm52219	XR_003951660			Gm52219			
SRR21586220_peak_16256b	chr16	3115042	3115042	+	120.877	NA	Intergenic	Intergenic	26398	Vmn1r-ps137	Vmn1r-ps137	Vmn1r-ps137			Vmn1r-ps137			NA
SRR21586220_peak_28768	chr4	33338298	33338298	+	119.88	NA	intron (XM_030253517.1, intron 8 of 12)	-intron (NM_001305273.1, intron 7 of 15)	27987	NM_001305273.1	Rngtt	XM_006537889			Rngtt			
SRR21586220_peak_340e	chr1	24615215	24615215	+	117.313	NA	promoter-TSS (Gm10925)	-promoter-TSS (Gm10925)	-564	Gm10925	Gm10925	Gm10925			Gm10925			NA
SRR21586220_peak_5786	chr11	20201061	20201061	+	117.034	NA	promoter-TSS (NM_008996.4)	-promoter-TSS (NM_008996.4)	-351	NM_008996.4	Rab1a	NM_008996			Rab1a			
SRR21586220_peak_5101	chr10	120217087	120217087	+	116.385	NA	intron (NM_026617.3, intron 2 of 6)	-intron (NM_026617.3, intron 2 of 6)	-5043	XR_001779655.1	Gm40782	XR_001779655			Gm40782			
SRR21586220_peak_7425b	chr11	88968526	88968526	+	114.746	NA	Intergenic	Intergenic	-1595	NM_001360780.1_2	Elobl	XM_030245855			Elobl			
SRR21586220_peak_41175	chr8	84650477	84650477	+	113.342	NA	Intergenic	Intergenic	8684	XR_879014.3	Gm39211	XR_879014			Gm39211			
SRR21586220_peak_5872a	chr11	22620994	22620994	+	113.256	NA	Intergenic	Intergenic	9285	NR_166746.1	Gm12052	NR_166746			Gm12052			
SRR21586220_peak_46067	chrY	90775716	90775716	+	113.032	NA	Intergenic	Intergenic	-9726	NR_137282.1	Erdr1	NR_137282.1_2			Erdr1			
SRR21586220_peak_25431b	chr2	163032033	163032033	+	112.54	NA	intron (XR_374472.4, intron 8 of 11)	-intron (NM_001356522.1, intron 8 of 12)	14680	NM_001356522.1	Ift52	NM_172150			Ift52			
SRR21586220_peak_11937	chr13	90922993	90922993	+	112.414	NA	promoter-TSS (NM_024175.3)	-promoter-TSS (NM_024175.3)	-129	NM_024175.3	Rps23	NM_024175			Rps23			
SRR21586220_peak_42071b	chr9	3006814	3006814	+	111.268	NA	Intergenic	Intergenic	31929	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586220_peak_25410	chr2	160957788	160957788	+	110.709	NA	intron (XR_001783180.2, intron 34 of 36)	-intron (NM_173368.3, intron 34 of 36)	-38989	Gm25561	Gm25561	Gm25561			Gm25561			NA
SRR21586220_peak_36878	chr7	3206670	3206670	+	109.791	NA	Intergenic	Intergenic	-11956	NR_029640.1_2	Mir290a	NR_029640.1_2			Mir290a			
SRR21586220_peak_26967a	chr3	75650736	75650736	+	109.516	NA	intron (NR_040539.1, intron 1 of 2)	-intron (NR_040539.1, intron 1 of 2)	4995	NR_040539.1	Platr10	NR_040539			Platr10			
SRR21586220_peak_340c	chr1	24613203	24613203	+	108.394	NA	promoter-TSS (Gm10222)	-promoter-TSS (Gm10222)	-503	Gm10222	Gm10222	Gm10222			Gm10222			NA
SRR21586220_peak_10465	chr13	8885716	8885716	+	108.362	NA	exon (NM_145360.2, exon 1 of 5)	-exon (NM_145360.2, exon 1 of 5)	110	NM_145360.2	Idi1	NM_145360			Idi1			
SRR21586220_peak_9628	chr12	78350997	78350997	+	108.12	NA	intron (XM_030246733.1, intron 2 of 20)	-intron (NM_145965.2, intron 2 of 22)	-94345	Gm18899	Gm18899	Gm18899			Gm18899			NA
SRR21586220_peak_6674	chr11	62494949	62494949	+	106.657	NA	intron (NM_001039536.4, intron 2 of 6)	-intron (NM_001039536.4, intron 2 of 6)	36508	NM_001039536.4	Pigl	NM_001039536			Pigl			
SRR21586220_peak_40079	chr8	19698840	19698840	+	105.951	NA	Intergenic	Intergenic	-5471	XM_017312928.1	4930467E23Rik	XM_017312928			4930467E23Rik			
SRR21586220_peak_25881	chr2	177080018	177080018	+	104.525	NA	Intergenic	Intergenic	5829	Gm14407	Gm14407	Gm14407			Gm14407			NA
SRR21586220_peak_44423	chrUn_GL456368	18318	18318	+	104.506	NA	NA	NA	NA	NA								
SRR21586220_peak_22985	chr2	22587991	22587991	+	103.368	NA	intron (NM_148413.3, intron 30 of 33)	-intron (NM_148413.3, intron 30 of 33)	-33024	XM_011239023.3	Gad2	XM_011239023			Gad2			
SRR21586220_peak_21409	chr18	90602436	90602436	+	103.175	NA	Intergenic	Intergenic	22611	NM_001362365.1	Gm45871	NM_001362365			Gm45871			
SRR21586220_peak_29961c	chr4	117056807	117056807	+	101.563	NA	intron (XM_006502649.2, intron 5 of 10)	-intron (NM_001111277.2, intron 5 of 11)	29596	Gm22335	Gm22335	Gm22335			Gm22335			NA
SRR21586220_peak_43064	chr9	56223777	56223777	+	101.53	NA	intron (XM_006511168.4, intron 5 of 5)	-intron (NM_172924.3, intron 6 of 6)	-17567	XR_001779176.2	Peak1os	XR_003948327			Peak1os			
SRR21586220_peak_43869	chr9	100074528	100074528	+	101.395	NA	Intergenic	Intergenic	52228	NR_040763.1	4930519F24Rik	NR_040763			4930519F24Rik			
SRR21586220_peak_869	chr1	59697872	59697872	+	101.189	NA	intron (XM_006496149.3, intron 5 of 15)	-intron (NM_018868.2, intron 4 of 14)	5363	XR_003949310.1	LOC115485825	XR_003949310			LOC115485825			
SRR21586220_peak_28705	chr4	26944777	26944777	+	101.008	NA	Intergenic	Intergenic	114942	XR_881171.1	Gm42264	XR_881171			Gm42264			
SRR21586220_peak_14298a	chr14	124801771	124801771	+	100.902	NA	Intergenic	Intergenic	-124085	XM_017315845.2	Fgf14	XM_011244952			Fgf14			
SRR21586220_peak_30903a	chr4	139622955	139622955	+	100.772	NA	promoter-TSS (NM_175438.4)	-promoter-TSS (NM_175438.4)	61	NM_175438.4	Aldh4a1	NM_175438			Aldh4a1			
SRR21586220_peak_42079a	chr9	3024177	3024177	+	100.637	NA	Intergenic	Intergenic	14566	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586220_peak_20450b	chr18	31568936	31568936	+	100.124	NA	intron (XR_877270.2, intron 1 of 4)	-intron (XR_877268.2, intron 1 of 3)	2258	XR_877270.2	Gm38606	XR_877268			Gm38606			
SRR21586220_peak_3575	chr10	36611677	36611677	+	99.9277	NA	intron (XM_030245115.1, intron 2 of 5)	-intron (NM_001081208.2, intron 1 of 3)	104870	NM_001253355.1	Hs3st5	XM_006512761			Hs3st5			
SRR21586220_peak_34400	chr6	3557471	3557471	+	99.1689	NA	intron (NM_024260.5, intron 16 of 27)	-intron (NM_001167750.1, intron 16 of 27)	13107	NR_168043.1	Gm52885	NR_168043			Gm52885			
SRR21586220_peak_34458	chr6	5482517	5482517	+	98.8384	NA	TTS (NM_013743.2)	-TTS (NM_013743.2)	13761	NM_013743.2	Pdk4	NM_013743			Pdk4			
SRR21586220_peak_24a	chr1	4802733	4802733	+	98.6844	NA	Intergenic	Intergenic	-5090	NM_008866.3	Lypla1	NM_001355712			Lypla1			
SRR21586220_peak_20261	chr18	17419021	17419021	+	98.323	NA	Intergenic	Intergenic	114908	XR_877204.1	Gm31018	XR_386094			Gm31018			
SRR21586220_peak_42333	chr9	17557773	17557773	+	97.7519	NA	Intergenic	Intergenic	-55034	Gm2594	Gm2594	Gm2594			Gm2594			NA
SRR21586220_peak_28364	chr3	159939537	159939537	+	97.2034	NA	TTS (NM_001356350.1)	-TTS (NM_001356350.1)	-23176	XR_003954720.1	Gm23941	XR_003954720			Gm23941			
SRR21586220_peak_26113a	chr3	8245427	8245427	+	97.0403	NA	Intergenic	Intergenic	31297	Gm7103	Gm7103	Gm7103			Gm7103			NA
SRR21586220_peak_38256	chr7	52732370	52732370	+	96.5581	NA	Intergenic	Intergenic	-23039	Gm6181	Gm6181	Gm6181			Gm6181			NA
SRR21586220_peak_26338	chr3	22038247	22038247	+	96.3944	NA	Intergenic	Intergenic	-38006	XM_006535581.4	Tbl1xr1	XM_017319817			Tbl1xr1			
SRR21586220_peak_46065	chrY	90768331	90768331	+	96.0053	NA	Intergenic	Intergenic	-13281	NR_137283.1	G530011O06Rik	NR_137283			G530011O06Rik			
SRR21586220_peak_16268a	chr16	3350923	3350923	+	95.8442	NA	Intergenic	Intergenic	27036	Vmn1r-ps138	Vmn1r-ps138	Vmn1r-ps138			Vmn1r-ps138			NA
SRR21586220_peak_42069c	chr9	3001355	3001355	+	95.5129	NA	Intergenic	Intergenic	37388	NR_039546.1	Mir101c	NR_039546			Mir101c			
SRR21586220_peak_2458	chr1	164377242	164377242	+	95.1189	NA	intron (XM_030251921.1, intron 7 of 11)	-intron (NM_001293313.1, intron 9 of 13)	41331	XR_865691.2	Gm39690	XR_865691			Gm39690			
SRR21586220_peak_5331	chr10	130420093	130420093	+	94.9843	NA	intron (NM_001102602.1, intron 5 of 5)	-intron (NM_001102602.1, intron 5 of 5)	7846	Ctdsp2-ps	Ctdsp2-ps	Ctdsp2-ps			Ctdsp2-ps			NA
SRR21586220_peak_39841	chr7	145341240	145341240	+	94.9109	NA	Intergenic	Intergenic	26405	NM_203490.4	Mrgprd	NM_203490			Mrgprd			
SRR21586220_peak_40568	chr8	47334403	47334403	+	94.4607	NA	intron (XM_030243766.1, intron 2 of 4)	-intron (NM_175162.4, intron 1 of 4)	10861	XR_870417.2	Gm39171	XR_870417			Gm39171			
SRR21586220_peak_15235a	chr15	65926544	65926544	+	94.2984	NA	intron (NM_001145096.1, intron 15 of 16)	-intron (NM_001145096.1, intron 15 of 16)	2443	Gm2991	Gm2991	Gm2991			Gm2991			NA
SRR21586220_peak_31125	chr4	146903465	146903465	+	94.2287	NA	intron (XM_030253976.1, intron 6 of 6)	-intron (XM_030253976.1, intron 6 of 6)	-2233	XR_003955311.1	Gm21411	XR_003955311			Gm21411			
SRR21586220_peak_22940	chr2	20655138	20655138	+	94.1869	NA	intron (XM_006497417.4, intron 1 of 19)	-intron (NM_001081006.1, intron 3 of 21)	-67164	XM_017316833.2	Etl4	NM_001081006			Etl4			
SRR21586220_peak_13080	chr14	34694035	34694035	+	93.7909	NA	intron (NM_001301330.1, intron 3 of 18)	-intron (NM_001004436.4, intron 3 of 18)	-19367	NR_165636.1	5830448L01Rik	NR_165636			5830448L01Rik			
SRR21586220_peak_12822b	chr14	21831380	21831380	+	93.69	NA	promoter-TSS (NM_011695.2)	-promoter-TSS (NM_011695.2)	-181	NM_011695.2	Vdac2	NM_011695			Vdac2			
SRR21586220_peak_25812	chr2	175068040	175068040	+	93.495	NA	promoter-TSS (NM_001085546.2)	-promoter-TSS (NM_001085546.2)	-271	NM_001085546.2	Gm14393	XM_030251944			Gm14393			
SRR21586220_peak_38600	chr7	80947702	80947702	+	92.7212	NA	promoter-TSS (NM_019951.1)	-promoter-TSS (NM_019951.1)	-152	NM_019951.1	Sec11a	NM_019951			Sec11a			
SRR21586220_peak_35176b	chr6	54953618	54953618	+	92.2838	NA	intron (XR_377400.4, intron 1 of 11)	-intron (NM_001171007.1, intron 1 of 11)	18043	NM_001171007.1	Nod1	XR_377400			Nod1			
SRR21586220_peak_34091	chr5	140704619	140704619	+	92.128	NA	promoter-TSS (NM_001276287.1)	-promoter-TSS (NM_001276287.1)	-144	XM_006504675.2	Brat1	XM_006504676			Brat1			
SRR21586220_peak_44404b	chr9	124256757	124256757	+	91.8276	NA	Intergenic	Intergenic	26660	XM_011249869.2	Gm39469	XM_011249869			Gm39469			
SRR21586220_peak_37851b	chr7	35530771	35530771	+	91.2299	NA	intron (XR_001778000.2, intron 1 of 30)	-intron (NM_001368387.1, intron 1 of 30)	5604	XM_030243000.1	Tdrd12	XM_030243001			Tdrd12			
SRR21586220_peak_29569	chr4	88641197	88641197	+	90.5815	NA	Intergenic	Intergenic	3262	NM_177347.2	Ifna13	NM_177347			Ifna13			
SRR21586220_peak_40998	chr8	73319680	73319680	+	90.1286	NA	intron (XR_003947238.1, intron 1 of 14)	-intron (NM_001317391.1_2, intron 2 of 15)	33860	NM_010687.2_2	Large1	XR_003947238			Large1			
SRR21586220_peak_36445	chr6	125433872	125433872	+	89.7941	NA	intron (XR_378025.4, intron 3 of 4)	-intron (XR_378025.4, intron 3 of 4)	2942	XR_378025.4	Gm32673	XR_378025			Gm32673			
SRR21586220_peak_22668	chr19	61224013	61224013	+	89.7762	NA	TTS (NM_009970.2)	-TTS (NM_009970.2)	4405	NM_009970.2	Csf2ra	XR_877659			Csf2ra			
SRR21586220_peak_20225	chr18	14103318	14103318	+	89.697	NA	Intergenic	Intergenic	-128988	NR_045373.1	8430422H06Rik	NR_045373			8430422H06Rik			
